# Topic name : ASP.NET
# Description : ASP.NET is a web framework for building modern web apps and services.
# Github topic URL : https://github.com/topics/aspnet
user_name,repo_name,repo_url,forks,stars,tags,languages_used
bitwarden,server,https://github.com/bitwarden/server,1200.0,13400.0,"['api', 'docker', 'sql', 'sql-server', 'csharp', 'dotnet', 'aspnetcore', 'aspnet', 'dotnet-core', 'signalr', 'bitwarden']","{'C#': '77.9%', 'TSQL': '16.6%', 'Handlebars': '2.4%', 'HTML': '2.1%', 'Shell': '0.5%', 'JavaScript': '0.2%'}"
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,25600.0,12000.0,"['docs', 'aspnetcore', 'aspnet', 'asp', 'aspnet-core']","{'C#': '60.5%', 'HTML': '27.6%', 'JavaScript': '6.1%', 'Less': '3.0%', 'CSS': '1.7%', 'TypeScript': '0.5%'}"
abpframework,abp,https://github.com/abpframework/abp,3200.0,11600.0,"['c-sharp', 'angular', 'framework', 'csharp', 'aspnetcore', 'aspnet', 'architecture', 'domain-driven-design', 'saas', 'dotnet-core', 'aspnet-core', 'multi-tenancy', 'abp', 'blazor']","{'C#': '80.4%', 'TypeScript': '8.4%', 'HTML': '7.5%', 'JavaScript': '2.6%', 'PowerShell': '0.4%', 'SCSS': '0.3%'}"
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,3700.0,11300.0,"['c-sharp', 'framework', 'csharp', 'dotnet', 'aspnetcore', 'aspnet', 'best-practices', 'architecture', 'domain-driven-design', 'dotnet-core', 'aspnet-core', 'multi-tenancy', 'abp', 'nlayer-architecture']","{'C#': '97.1%', 'JavaScript': '2.2%', 'HTML': '0.4%', 'CSS': '0.1%', 'Less': '0.1%', 'PowerShell': '0.1%'}"
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,4900.0,8500.0,"['ecommerce', 'shopping-cart', 'mvc', 'shop', 'dotnet', 'aspnetcore', 'aspnet', 'headless', 'dotnet-core', 'ecommerce-platform', 'e-commerce', 'asp-net-core', 'asp-net', 'cart', 'sqlserver', 'net6']","{'C#': '68.3%', 'HTML': '17.5%', 'TSQL': '11.4%', 'CSS': '2.0%', 'JavaScript': '0.8%', 'Dockerfile': '0.0%'}"
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,706.0,6900.0,"['electron', 'cross-platform', 'dotnet', 'aspnet', 'dotnetcore', 'dotnet-core', 'asp-net-core', 'dotnet-standard', 'asp-net-core-mvc', 'blazor', 'electron-net', 'blazor-server', 'blazor-webassembly']","{'C#': '73.0%', 'HTML': '12.6%', 'TypeScript': '9.8%', 'JavaScript': '2.0%', 'CSS': '1.9%', 'PowerShell': '0.3%'}"
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,1000.0,6500.0,"['awesome', 'csharp', 'solid', 'dotnet', 'aspnet', 'azure', 'best-practices', 'clean-code', 'composition', 'inheritance', 'clean-architecture', 'principles']",{'C#': '100.0%'}
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,1200.0,6100.0,"['angular', 'typescript', 'csharp', 'aurelia', 'dotnet', 'aspnetcore', 'aspnet', 'swagger', 'openapi', 'codegen', 'webapi', 'nswag']","{'C#': '91.4%', 'Liquid': '7.3%', 'HTML': '0.7%', 'PowerShell': '0.2%', 'Batchfile': '0.2%', 'Shell': '0.1%'}"
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,208.0,3300.0,"['aspnet', 'web-api', 'vertical-slice-architecture', 'minimal-api', 'repr-pattern']",{'C#': '100.0%'}
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,700.0,2800.0,"['aspnetcore', 'aspnet', 'versioning', 'webapi', 'odata', 'versioning-semantics']",{'C#': '100.0%'}
